model,split,evaluation_rows,MAE,RMSE,WAPE
MA-28,validation,56400,1.0819516210739615,2.5005570102449215,0.9091488591861059
MA-28,test,56700,1.1138095238095238,2.550769733211606,0.9419213387623607
Random Forest,test,56700,1.1119545988000186,2.5130677188456816,0.94035267427269
XGBoost,test,56700,1.1136226500891624,2.5452544912257147,0.9417633042500859
Random Forest,validation,56400,1.08598415998622,2.478719435463049,0.9125373453996248
XGBoost,validation,56400,1.0897374153137207,2.5072549455650788,0.9156911541178048
