case,id,window,mean_demand,std_demand,mean_forecast,lead_time,service_level,mean_safety_stock,mean_reorder_point,average_inventory,stockout_rate,service_level_actual
volatile,HOBBIES_1_016_CA_1_validation,validation,5.349469496021221,8.020330403713789,6.180845017051914,3,0.99,33.0,51.9867374005305,43.04255319148936,0.0,1.0
intermittent,HOBBIES_1_048_CA_3_validation,validation,4.724801061007957,7.498851601542049,9.172792724516864,3,0.99,25.0,52.98143236074271,39.680851063829785,0.005319148936170213,0.9994121105232217
stable_high_demand,HOBBIES_1_074_CA_3_validation,validation,3.1545092838196287,2.431135045420352,2.900909435392194,3,0.99,10.0,19.185676392572944,15.335106382978724,0.005319148936170213,0.9981378026070763
volatile,HOBBIES_1_016_CA_1_validation,test,5.349469496021221,8.020330403713789,6.180845017051914,3,0.99,33.0,51.9867374005305,44.55026455026455,0.0,1.0
intermittent,HOBBIES_1_048_CA_3_validation,test,4.724801061007957,7.498851601542049,9.172792724516864,3,0.99,25.0,52.98143236074271,40.27513227513227,0.0,1.0
stable_high_demand,HOBBIES_1_074_CA_3_validation,test,3.1545092838196287,2.431135045420352,2.900909435392194,3,0.99,10.0,19.185676392572944,16.058201058201057,0.0,1.0
